id	class	text
4124	warning	_fastcall with stack checking is inefficient
4125	warning	decimal digit terminates octal escape sequence
4126	warning	'%c' : unknown memory model flag
4127	warning	conditional expression is constant
4128	warning	storage-class specifier after type
4129	warning	'%c' : unrecognized character escape sequence
4130	warning	'%Fs' : logical operation on address of string constant
4131	warning	'%Fs' : uses old-style declarator
4132	warning	'%Fs' : const object should be initialized
4135	warning	conversion between different integral types
4136	warning	conversion between different floating types
4137	warning	'%Fs' : no return value from floating-point function
4138	warning	'*/' found outside of comment
4139	warning	'0x%x' : hex escape sequence is out of range
4140	warning	'%Fs' : redefined, preceding references may be invalid
4185	warning	near call to '%Fs' in different segment
4206	warning	assignment within conditional expression
4401	warning	'%s' : member is bit field
4402	warning	must use PTR operator
4403	warning	illegal PTR operator
4404	warning	period on directive ignored
4405	warning	'%s' : identifier is reserved word
4406	warning	operand on directive ignored
4407	warning	operand size conflict
4409	warning	illegal instruction size
4410	warning	illegal size for operand
4411	warning	'%s' : symbol resolves to displacement register
4412	warning	'%s' : identifier is also assembler mnemonic
4414	warning	'%Fs' : short jump to function converted to near
4500	warning	'%Fs' : class has private/protected members, needs user defined ctor
4501	warning	'%Fs' : use of '::' unnecessary here
4502	warning	'linkage' requires use of keyword 'extern'
4503	warning	'linkage' has no type
4504	warning	'%s' : unable to remove Inline Function file
4506	warning	'%Fs' : 'virtual/inline' do not apply to data/data members
4508	warning	function must return a value
4509	warning	'%Fs': default copy ctor not provided
4510	warning	'%Fs': default operator= not provided
4701	warning	'%Fs' : bad context for intrinsic function
