index	virtual_address	value	type	pad	stored	validated
80	0x0001034a	0x00080110	3	0	0x00090110	True
81	0x00010353	0x00080104	3	0	0x00090104	True
82	0x00010362	0x00080104	3	0	0x00090104	True
83	0x0001036c	0x00080100	3	0	0x00090100	True
84	0x00010375	0x00080104	3	0	0x00090104	True
85	0x0001037e	0x00080128	3	0	0x00090128	True
86	0x0001038a	0x00080128	3	0	0x00090128	True
87	0x00010394	0x0008011c	3	0	0x0009011c	True
88	0x0001039e	0x00080120	3	0	0x00090120	True
89	0x000103a4	0x0008011c	3	0	0x0009011c	True
90	0x000103b1	0x00080118	3	0	0x00090118	True
91	0x000103bf	0x00080130	3	0	0x00090130	True
92	0x000103c4	0x00080114	3	0	0x00090114	True
93	0x000103c9	0x00080110	3	0	0x00090110	True
94	0x000103ce	0x0008010c	3	0	0x0009010c	True
95	0x000103d3	0x00080108	3	0	0x00090108	True
96	0x000103d8	0x00080100	3	0	0x00090100	True
97	0x000103dd	0x0008011c	3	0	0x0009011c	True
98	0x000103e2	0x00080118	3	0	0x00090118	True
99	0x000103e9	0x00080118	3	0	0x00090118	True
100	0x000103ee	0x0007001c	3	0	0x0008001c	True
101	0x000103f3	0x0008011c	3	0	0x0009011c	True
102	0x000103f8	0x00070018	3	0	0x00080018	True
103	0x000103fd	0x0008012c	3	0	0x0009012c	True
104	0x00010402	0x00070014	3	0	0x00080014	True
105	0x00010407	0x00080100	3	0	0x00090100	True
106	0x0001040c	0x00070010	3	0	0x00080010	True
107	0x00010411	0x00080108	3	0	0x00090108	True
108	0x00010416	0x00070024	3	0	0x00080024	True
109	0x0001041b	0x0008010c	3	0	0x0009010c	True
110	0x00010420	0x0007002c	3	0	0x0008002c	True
111	0x00010425	0x00080110	3	0	0x00090110	True
112	0x0001042a	0x00070028	3	0	0x00080028	True
113	0x0001042f	0x00080114	3	0	0x00090114	True
114	0x00010434	0x00070020	3	0	0x00080020	True
115	0x00010439	0x00080130	3	0	0x00090130	True
116	0x0001043e	0x00070030	3	0	0x00080030	True
117	0x00010445	0x0007001c	3	0	0x0008001c	True
118	0x0001044a	0x00080118	3	0	0x00090118	True
119	0x0001044f	0x00070018	3	0	0x00080018	True
120	0x00010454	0x0008011c	3	0	0x0009011c	True
121	0x00010459	0x00070014	3	0	0x00080014	True
122	0x0001045e	0x0008012c	3	0	0x0009012c	True
123	0x00010463	0x00070010	3	0	0x00080010	True
124	0x00010468	0x00080100	3	0	0x00090100	True
125	0x0001046d	0x00070024	3	0	0x00080024	True
126	0x00010472	0x00080108	3	0	0x00090108	True
127	0x00010477	0x0007002c	3	0	0x0008002c	True
128	0x0001047c	0x0008010c	3	0	0x0009010c	True
129	0x00010481	0x00070028	3	0	0x00080028	True
130	0x00010486	0x00080110	3	0	0x00090110	True
131	0x0001048b	0x00070020	3	0	0x00080020	True
132	0x00010490	0x00080114	3	0	0x00090114	True
133	0x00010495	0x00070030	3	0	0x00080030	True
134	0x0001049a	0x00080130	3	0	0x00090130	True
135	0x000104a7	0x000800b0	3	0	0x000900b0	True
136	0x000104bc	0x00070858	3	0	0x00080858	True
137	0x000104ca	0x00070880	3	0	0x00080880	True
138	0x000104d0	0x00080164	3	0	0x00090164	True
139	0x000104f8	0x00070868	3	0	0x00080868	True
140	0x00010514	0x00080104	3	0	0x00090104	True
141	0x00010533	0x00070880	3	0	0x00080880	True
142	0x0001053a	0x00080428	3	0	0x00090428	True
143	0x0001053f	0x000800d8	3	0	0x000900d8	True
144	0x00010559	0x00081cf8	3	0	0x00091cf8	True
145	0x00010564	0x000800b4	3	0	0x000900b4	True
146	0x0001057a	0x000800b8	3	0	0x000900b8	True
147	0x00010590	0x000800c8	3	0	0x000900c8	True
148	0x000105a6	0x000800c0	3	0	0x000900c0	True
149	0x000105b9	0x000804b1	3	0	0x000904b1	True
150	0x000105e0	0x00080104	3	0	0x00090104	True
151	0x000105f6	0x00080ea8	3	0	0x00090ea8	True
